density,pop,county,state
4556.4021573,242742,Norfolk,Virginia
24.994967113,11880,Charlotte,Virginia
832.9516176,352802,Chesterfield,Virginia
2934.8116361,1147532,Fairfax,Virginia
38.397563716,11336,Greensville,Virginia
8.0215523802,42243,Okanogan,Washington
20.865716698,47935,Kittitas,Washington
402.13160725,290536,Thurston,Washington
120.22256331,204390,Benton,Washington
20.076447454,69432,Lewis and Clark,Montana
3.6385085471,5911,Pondera,Montana
61.249907888,161300,Yellowstone,Montana
46.124019179,119600,Missoula,Montana
18.321220792,43806,Ravalli,Montana
1.5013905822,7396,Valley,Montana
30.155952191,81366,Cascade,Montana
2.5464764323,11050,Fergus,Montana
0.2690011688,1258,Garfield,Montana
3.6052229198,4397,Mineral,Montana
0.2941488054,487,Petroleum,Montana
2.9621132115,6890,Powell,Montana
4.3881307444,12113,Sanders,Montana
1.0892884993,969,Wibaux,Montana
43.928342984,114434,Gallatin,Montana
0.778470989,1862,Meagher,Montana
5.2375714543,10725,Carbon,Montana
1.7054905801,9453,Beaverhead,Montana
20.405340238,103806,Flathead,Montana
2.4789219461,4633,Musselshell,Montana
0.7691891173,3954,Phillips,Montana
6.1069654585,3380,Harlan,Nebraska
23.893031935,13679,York,Nebraska
0.6542953464,465,Blaine,Nebraska
51.288943727,49659,Buffalo,Nebraska
26.015018698,10709,Colfax,Nebraska
4.0786529296,1794,Deuel,Nebraska
3.8904555632,2762,Hitchcock,Nebraska
1.3107617489,748,Logan,Nebraska
49.651397125,33470,Platte,Nebraska
11.892442783,5213,Polk,Nebraska
8.7189595068,5003,Thayer,Nebraska
10.027968985,10783,Box Butte,Nebraska
2.4194428544,2955,Brown,Nebraska
55.679831279,31363,Adams,Nebraska
2.1491544553,5246,Sheridan,Nebraska
380.97565271,319090,Lancaster,Nebraska
7.5624083429,5192,Boone,Nebraska
7.2119658497,4148,Nuckolls,Nebraska
1.3458392551,1357,Rock,Nebraska
0.9983775724,745,Banner,Nebraska
2.6953783193,2627,Frontier,Nebraska
5.3037264658,3001,Sherman,Nebraska
1750.3315009,571327,Douglas,Nebraska
14.252296288,7865,Richardson,Nebraska
11.320165882,6445,Howard,Nebraska
4.1730281313,10067,Holt,Nebraska
6.5022866052,4676,Furnas,Nebraska
4.3435071587,1990,Gosper,Nebraska
24.777834741,14224,Saline,Nebraska
786.03485862,187196,Sarpy,Nebraska
18.354415058,7224,Thurston,Nebraska
53.157082836,20729,Washington,Nebraska
3.554133884,1919,Boyd,Nebraska
0.954496825,5689,Cherry,Nebraska
69.112622959,36565,Dodge,Nebraska
9.4930130495,5462,Fillmore,Nebraska
1.0771377764,1837,Garden,Nebraska
0.9456983962,682,Hooker,Nebraska
3.2602041376,4642,Morrill,Nebraska
17.114383308,6972,Nemaha,Nebraska
30.246948434,17284,Seward,Nebraska
1.0127640743,722,Thomas,Nebraska
75.777798743,20026,Dakota,Nebraska
6.0652647493,3487,Webster,Nebraska
7.3475479016,6298,Antelope,Nebraska
4.387207494,3924,Chase,Nebraska
13.704882904,8016,Butler,Nebraska
10.838920036,6203,Clay,Nebraska
0.6472314918,463,Arthur,Nebraska
4.1842776759,10777,Custer,Nebraska
5.1735299796,2979,Franklin,Nebraska
25.265967619,21513,Gage,Nebraska
17.20619293,9324,Hamilton,Nebraska
12.357694844,7046,Jefferson,Nebraska
12.58128098,6495,Kearney,Nebraska
7.5678204537,8034,Keith,Nebraska
1.1783048481,664,Loup,Nebraska
61.295214342,35099,Madison,Nebraska
3.2728226159,2891,Perkins,Nebraska
16.736150368,9034,Phelps,Nebraska
28.797915551,21578,Saunders,Nebraska
48.170429466,35618,Scotts Bluff,Nebraska
21.189121524,9385,Wayne,Nebraska
1.0425883086,806,Keya Paha,Nebraska
3.8157442794,3632,Kimball,Nebraska
7.5168493371,8332,Knox,Nebraska
4.5879216491,3985,Columbia,Washington
776.85533336,488241,Clark,Washington
35.502075007,22582,Asotin,Washington
10.380837609,19983,Adams,Washington
3.1301202931,2225,Garfield,Washington
69.582170877,66768,Mason,Washington
74.675423726,129205,Skagit,Washington
18.456077462,45723,Stevens,Washington
296.38858142,522798,Spokane,Washington
4.7342721583,10939,Lincoln,Washington
26.427687744,77200,Chelan,Washington
